2.7	-31.9
2.9	-31.4
3.1	-31
3.35	-30.5
3.5	-30
3.75	-29.5
3.95	-29
4.15	-28.5
4.35	-28
4.6	-27.5
4.8	-27
4.95	-26.5
5.15	-26
5.35	-25.5
5.5	-25
5.7	-24.5
5.9	-24
6.05	-23.5
6.2	-23
6.4	-22.5
6.6	-22
6.7	-21.6
6.9	-21.1
7.05	-20.6
7.15	-20.1
7.35	-19.6
7.5	-19.1
7.6	-18.6
7.75	-18.1
7.9	-17.6
8.05	-17.1
8.1	-16.6
8.25	-16.1
8.4	-15.6
8.5	-15.1
8.6	-14.6
8.7	-14.1
8.85	-13.6
8.95	-13.2
9	-12.7
9.1	-12.2
9.2	-11.7
9.3	-11.2
9.35	-10.7
9.45	-10.2
9.55	-9.7
9.6	-9.2
9.65	-8.7
9.75	-8.2
9.8	-7.7
9.9	-7.2
9.9	-6.7
9.95	-6.2
10.05	-5.8
10.1	-5.3
10.1	-4.8
10.15	-4.3
10.2	-3.8
10.25	-3.3
10.25	-2.8
10.3	-2.3
10.35	-1.8
10.4	-1.3
10.45	-0.8
10.4	-0.3
10.45	0.2
10.5	0.6
10.5	1.1
10.55	1.6
10.5	2.1
10.55	2.6
10.55	3.1
10.6	3.6
10.55	4.1
10.55	4.6
10.6	5.1
10.6	5.6
10.6	6.1
10.55	6.5
10.6	7
10.6	7.5
10.6	8
10.6	8.5
10.55	9
10.55	9.5
10.6	10
10.6	10.5
10.55	11
10.55	11.5
10.55	12
10.55	12.4
10.55	12.9
10.5	13.4
10.5	13.9
10.45	14.4
10.45	14.9
10.4	15.4
10.4	15.9
10.4	16.4
10.4	16.9
10.35	17.4
10.3	17.8
10.3	18.3
10.3	18.8
10.3	19.3
10.2	19.8
10.2	20.3
10.2	20.8
10.1	21.3
10.1	21.8
10.1	22.3
10.05	22.8
10	23.2
9.95	23.7
9.95	24.2
9.85	24.7
9.85	25.2
9.8	25.7
9.75	26.2
9.7	26.7
9.7	27.2
9.6	27.7
9.6	28.2
9.55	28.7
9.45	29.2
9.45	29.6
9.4	30.1
9.35	30.6
9.3	31.1
9.2	31.6
9.2	32.1
9.1	32.6
9.05	33.1
9.05	33.6
8.95	34.1
8.9	34.6
8.85	35.1
8.8	35.6
8.75	36.1
8.7	36.6
8.6	37
8.55	37.5
8.5	38
8.45	38.5
8.4	39
8.35	39.5
8.25	40
8.25	40.5
8.15	41
8.1	41.5
8.1	42
8	42.5
7.95	43
7.95	43.5
7.85	44
7.8	44.5
7.75	45
7.75	45.5
7.7	46
7.65	46.5
7.6	47
7.6	47.5
7.55	48
7.5	48.5
7.45	49
7.45	49.5
7.4	50
7.4	50.5
7.4	51
7.35	51.5
7.3	52
7.3	52.5
7.25	53
7.25	53.5
7.25	54
7.25	54.5
7.25	55.1
7.2	55.6
7.2	56.1
7.2	56.6
7.2	57.1
7.2	57.6
7.2	58.1
7.2	58.6
7.2	59.1
7.2	59.6
7.2	60.1
7.25	60.6
7.25	61.1
7.25	61.6
7.25	62.1
7.25	62.6
7.25	63.1
7.3	63.6
7.3	64.1
7.3	64.6
7.3	65.1
7.3	65.7
7.35	66.2
7.4	66.7
7.4	67.2
7.4	67.7
7.4	68.2
7.4	68.7
7.45	69.2
7.5	69.7
7.5	70.2
7.5	70.7
7.5	71.2
7.55	71.7
7.6	72.2
7.6	72.7
7.6	73.2
7.6	73.7
7.65	74.2
7.7	74.7
7.7	75.2
7.7	75.7
7.75	76.2
7.75	76.7
7.75	77.2
7.8	77.7
7.8	78.2
7.85	78.7
7.85	79.2
7.85	79.7
7.85	80.2
7.95	80.7
7.95	81.2
7.95	81.7
7.95	82.2
7.95	82.7
8	83.2
8	83.7
8	84.3
8.05	84.8
8.05	85.3
8.1	85.8
8.1	86.3
8.1	86.8
8.1	87.3
8.1	87.8
8.15	88.3
8.15	88.8
8.15	89.3
8.15	89.8
8.15	90.3
8.15	90.8
8.15	91.3
8.15	91.8
8.2	92.3
8.2	92.8
8.2	93.3
8.2	93.8
8.2	94.3
8.2	94.8
8.2	95.3
8.15	95.8
8.15	96.3
8.15	96.8
8.15	97.3
8.15	97.8
8.15	98.3
8.1	98.8
8.1	99.3
8.1	99.8
8.1	100.3
8.1	100.8
8.05	101.3
8.05	101.8
8.05	102.3
8.05	102.8
8	103.3
8	103.8
8	104.3
8	104.8
7.95	105.3
7.95	105.8
7.95	106.3
7.95	106.8
7.9	107.3
7.9	107.8
7.9	107.8
7.9	108.3
7.9	108.8
7.85	109.3
7.85	109.8
7.85	110.3
7.85	110.8
7.8	111.3
7.75	111.9
7.75	112.4
7.75	112.9
7.75	113.4
7.75	113.9
7.75	114.4
7.75	114.9
7.75	115.4
7.75	115.9
7.7	116.4
7.7	116.9
7.7	117.4
7.7	117.9
7.7	118.4
7.7	118.9
7.7	119.4
7.65	120
7.7	120.5
7.7	121
7.7	121.5
7.7	122
7.7	122.5
7.7	123
7.7	123.5
7.7	124
7.7	124.5
7.75	125
7.75	125.5
7.75	126
7.75	126.5
7.75	127
7.75	127.5
7.75	128
7.8	128.5
7.8	129
7.8	129.5
7.8	130
7.8	130.5
7.8	131
7.8	131.5
7.85	132
7.85	132.5
7.85	133
7.85	133.5
7.85	134
7.85	134.5
7.85	135
7.85	135.5
7.85	136
7.85	136.5
7.85	137
7.85	137.5
7.85	138
7.85	138.5
7.85	139
7.85	139.5
7.85	140
7.85	140.5
7.8	141
7.8	141.5
7.75	141.9
7.75	142.4
7.75	142.9
7.75	143.4
7.7	143.9
7.7	144.4
7.7	144.9
7.65	145.4
7.6	145.9
7.6	146.4
7.6	146.9
7.55	147.4
7.5	147.9
7.5	148.4
7.45	148.9
7.45	149.4
7.4	149.8
7.35	150.3
7.35	150.8
7.25	151.3
7.25	151.8
7.2	152.3
7.15	152.8
7.1	153.3
7.05	153.8
7	154.3
6.95	154.8
6.9	155.2
6.85	155.7
6.8	156.2
6.7	156.7
6.7	157.2
6.6	157.7
6.6	158.2
6.5	158.7
6.4	159.2
6.4	159.7
6.3	160.1
6.2	160.6
6.15	161.1
6.1	161.6
6	162.1
5.95	162.6
5.85	163.1
5.8	163.6
5.7	164
5.6	164.5
5.55	165
5.45	165.5
5.35	166
5.3	166.5
5.2	167
5.1	167.5
5	168
4.95	168.4
4.85	168.9
4.75	169.4
4.65	169.9
4.6	170.4
4.5	170.9
4.4	171.4
4.3	171.9
4.2	172.3
4.1	172.8
4	173.3
3.9	173.8
3.8	174.3
3.7	174.8
3.65	175.3
3.55	175.8
3.5	176.3
3.4	176.8
3.3	177.2
3.2	177.7
3.1	178.2
3	178.7
2.95	179.2
2.85	179.7
